liman_turk_adi;liman_turk_kodu
GESTAÞ BOZCAADA LÝMANI;TRBZC-006
ALAÇATI YAT LÝMANI;TRCES-001
ALTINYUNUS SETUR YAT LÝMANI;TRCES-002
ÇEÞME LÝMANI SERBEST DEMÝR YERÝ;TRCES-003
ÇEÞME MARÝNA;TRCES-004
DALYAN YAT YANAÞMA YERÝ;TRCES-005
ULUSOY ÇEÞME LÝMANI;TRCES-006
SIÐACIK YAT LÝMANI;TRCES-007
AYVALIK BELEDÝYE VAPUR ÝSKELESÝ;TRCKZ-0001
ASKERÝ POL;TRCKZ-001
ÇANAKKALE AKÇANSA LÝMANI;TRCKZ-002
ÇANAKKALE BELEDÝYE YAT LÝMANI;TRCKZ-004
ÇANAKKALE FERÝBOT ÝSKELESÝ;TRCKZ-006
ÇANAKKALE KEPEZ LÝMANI;TRCKZ-007
GELÝBOLU TERSANESÝ;TRCKZ-009
GELÝBOLU TERSANESÝ;TRCKZ-009
TDÝ KABATEPE LÝMANI;TRCKZ-011
KABATEPE LÝMANI;TRCKZ-011
DÜZKOÇ - FALCON KEPEZ ÝSKELESÝ;TRCKZ-013
ÇANAKKALE BOTAÞ FAALÝYET ALANI;TRCKZ-014
KARANLIK LÝMAN DEMÝR SAHASI;TRCKZ-015
AKÇANSA DEMÝR SAHASI;TRCKZ-016
ÞEVKETÝYE DEMÝR SAHASI;TRCKZ-017
DATÇA KÖRMEN YAT LÝMANI;TRDAT-001
MERKEZ BALIKÇI BARINAÐI;TRDAT-002
KÖRMEN BALIKÇI BARINAÐI;TRDAT-003
PALAMUTBÜKÜ BALIKÇI BARINAÐI;TRDAT-004
MESUDÝYE BALIKÇI BARINAÐI;TRDAT-005
2 NOLU DEMÝR SAHASI;TRDAT-006
1 NOLU DEMÝR SAHASI;TRDAT-007
KAIROS YOLCU LÝMANI;TRDAT-008
DÝKÝLÝ LÝMANI;TRDIK-001
DÝKÝLÝ DEMÝRLEME SAHASI;TRDIK-002
2 NOLU DEMÝRLEME SAHASI;TREDO-001
KÜÇÜKKUYU BALIKÇI BARINAÐI;TREDO-002
ALTINOLUK BALIKCI BARINAÐI;TREDO-003
AKÇAY ÝSKELESÝ;TREDO-004
GESTAÞ KÜÇÜKKUYU YANAÞMA YERÝ;TREDO-005
BABAKALE BALIKCI BARINAÐI;TREDO-006
1 NOLU DEMÝRLEME SAHASI;TREDO-007
BOTAÞ SAROS FSRU TERMÝNALÝ;TRENE-001
BOTAÞ SAROS DEMÝRLEME SAHASI;TRENE-002
ERDEMÝR LÝMANI;TRERE-001
KARADENÝZ EREÐLÝ  BOZHANE LÝMANI;TRERE-002
ASKERÝ LÝMAN;TRERE-003
TERSANELER TEÇHÝZ LÝMAN;TRERE-004
1 NOLU DEMÝRLEME SAHASI;TRERE-005
2 NOLU DEMÝRLEME SAHASI;TRERE-006
3 NOLU DEMÝRLEME SAHASI;TRERE-007
4 NOLU DEMÝRLEME SAHASI;TRERE-008
MADENCÝ GEMÝ TERSANESÝ;TRERE-009
USTAMEHMETOÐLU GEMÝ TERSANESÝ;TRERE-010
USTAOÐLU GEMÝ TERSANESÝ;TRERE-011
EREÐLÝ GEMÝ TERSANESÝ;TRERE-012
FERÝ ÝSKELESÝ;TRERK-001
ANT TESÝSLERÝ;TRERK-002
FATSA BALIKÇI BARINAÐI    ;TRFAS-001
FATSA ÝSKELESÝ;TRFAS-002
1 NOLU DEMÝRLEME SAHASI;TRFAS-003
2 NOLU DEMÝRLEME SAHASI (TEHLÝKELÝ);TRFAS-004
ECE MARÝNA YAT LÝMANI;TRFET-001
FETHÝYE BELEDÝYE ÝSKELESÝ;TRFET-002
BU-BA INVEST MARÝNA;TRFET-003
1 NOLU DEMÝR SAHASI;TRFET-004
2 NOLU DEMÝR SAHASI;TRFET-005
3 NOLU DEMÝR SAHASI;TRFET-006
FÝNÝKE BARINMA YERÝ VE TURÝZM YAT LÝMANI  ( BALIKÇI TEKNELERÝ HÝZ;TRFIN-001
FÝNÝKE TURÝZM YAT LÝMANI;TRFIN-002
ÇAYAÐZI DEMÝR MEVKÝÝ;TRFIN-003
1 NOLU DEMÝRLEME SAHASI;TRFIN-004
2 NOLU DEMÝRLEME SAHASI;TRFIN-005
3 NOLU DEMÝRLEME SAHASI;TRFIN-006
ESKÝ FOÇA BALIKÇI BARINAÐI    ;TRFOC-001
FOÇA BELEDÝYE RIHTIMLARI;TRFOC-002
OASÝS MARÝNE YENÝ FOÇA;TRFOC-003
KALEKÖY BALIKÇI BARINAÐI;TRGCA-001
CLUP MARÝNA;TRGCK-001
D-MARÝN GÖCEK MARÝNA;TRGCK-002
MARINTÜRK VILLAGE PORT GÖCEK;TRGCK-003
MARÝNTÜRK EXCLUSIVE GÖCEK;TRGCK-004
POAÞ DALAMAN TERMÝNALÝ;TRGCK-005
MY MARÝNA;TRGCK-006
SKOPEA MARÝNA;TRGCK-007
BELEDÝYE YAT YANAÞMA YERÝ;TRGCK-008
3 NOLU DEMÝR SAHASI;TRGCK-009
2 NOLU DEMÝR SAHASI;TRGCK-010
1 NOLU DEMÝR SAHASI;TRGCK-011
4 NOLU DEMÝR SAHASI;TRGCK-012
EKÝNCÝK KOYU GEÇÝCÝ DEMÝR YERÝ;TRGCK-013
PORT AZURE;TRGCK-014
SAROS KÖRFEZÝ NATO TESÝSÝ;TRGEL-001
BORUSAN LÝMANI;TRGEM-001
BP GEMLÝK TERMÝNALÝ;TRGEM-002
BURULAÞ GEMLÝK ÝSKELESÝ;TRGEM-003
