liman_turk_adi;liman_turk_kodu
KILIÇ DENÝZ ÜRÜNLERÝ BALIK ÇÝFTLÝÐÝ;TRTAS-005
YEÞÝLOVACIK BALIKÇI BARINAÐI;TRTAS-006
AKKUYU DOÐU KARGO TERMÝNALÝ;TRTAS-007
1 NOLU DEMÝR SAHASI;TRTAS-008
2 NOLU DEMÝR SAHASI(TEHLÝKELÝ MADDE);TRTAS-009
YEÞÝLOVACIK LÝMANI DEMÝRLEME SAHASI;TRTAS-010
ARGAZ LPG DEPOLAMA TESÝSÝ;TRTEK-001
ASYAPORT;TRTEK-002
BOTAÞ LNG TERMÝNALÝ ÝSKELESÝ;TRTEK-003
BÜTANGAZ TRAKYA DEPOLAMA TERMÝNALÝ;TRTEK-004
MARMARA DEPOCULUK HÝZ. A.Þ. BORU HATTI DOLFEN SÝSTEMÝ;TRTEK-005
MARTAÞ MARMARA EREÐLÝSÝ LÝMAN TESÝSÝ;TRTEK-006
LÝKÝTGAZ MARMARA EREÐLÝSÝ DEPOLAMA VE DOLUM TERMÝNALÝ;TRTEK-007
OPET PETROLCÜLÜK A.Þ. MARMARA TERMÝNALÝ;TRTEK-008
TDÝ TEKÝRDAÐ LÝMANI;TRTEK-009
TMO GENEL MÜDÜRLÜÐÜ TEKÝRDAÐ ÝSKELESÝ;TRTEK-010
1 NOLU DEMÝRLEME SAHASI;TRTEK-011
2 NOLU DEMÝRLEME SAHASI;TRTEK-012
3 NOLU DEMÝRLEME SAHASI;TRTEK-013
4 NOLU DEMÝRLEME SAHASI;TRTEK-014
5 NOLU DEMÝRLEME SAHASI;TRTEK-015
6 NOLU DEMÝRLEME SAHASI;TRTEK-016
7 NOLU DEMÝRLEME SAHASI;TRTEK-017
ÞARKÖY BALIKÇI BARINAÐI;TRTEK-018
MÜREFTE BALIKÇI BARINAÐI;TRTEK-019
HOÞKÖY BALIKÇI BARINAÐI;TRTEK-020
KUMBAÐ  BALIKÇI BARINAÐI;TRTEK-021
BARBAROS BALIKÇI BARINAÐI;TRTEK-022
TEKÝRDAÐ BALIKÇI BARINAÐI;TRTEK-023
MARMARA EREÐLÝSÝ BALIKÇI BARINAÐI;TRTEK-024
BOTAÞ FAALÝYET ALANI;TRTEK-025
LÝKÝTPORT TERMÝNALÝ;TRTEK-026
TÝREBOLU BALIKÇI BARINAÐI;TRTIR-001
KARADENÝZ LPG TERMÝNALÝ;TRTIR-002
OPET ESPÝYE TERMÝNALÝ;TRTIR-003
1 NOLU DEMÝRLEME SAHASI;TRTIR-004
2 NOLU DEMÝRLEME SAHASI;TRTIR-005
3 NOLU DEMÝRLEME SAHASI;TRTIR-006
POAÞ TRABZON TERMÝNALÝ;TRTZX-001
TRABZON LÝMANI;TRTZX-002
AYTEMÝZ TRABZON TERMÝNALÝ;TRTZX-003
1 NOLU DEMÝRLEME SAHASI;TRTZX-005
2 NOLU DEMÝRLEME SAHASI (TEHLÝKELÝ YÜK);TRTZX-006
3 NOLU DEMÝRLEME SAHASI (UZUN SÜRE);TRTZX-007
ÜNYE LÝMANI;TRUNY-001
1 NOLU DEMÝRLEME SAHASI;TRUNY-002
2 NOLU DEMÝRLEME SAHASI (TEHLÝKELÝ);TRUNY-003
ÜNYE TERSANESÝ;TRUNY-004
YALOVA RO-RO TERMÝNALÝ;TRYAL-001
ETERPARK YALOVA TERMÝNALÝ;TRYAL-002
SETUR YALOVA YAT LÝMANI;TRYAL-003
AKSA AKRÝLÝK LÝMANI;TRYAL-004
TAVÞANLI BELEDÝYE ÝSKELESÝ;TRYAL-005
ÖZATA TERSANESÝ;TRYAL-006
SANMAR DENÝZCÝLÝK TERSANESÝ;TRYAL-007
TERSAN TERSANESÝ;TRYAL-008
1 NOLU DEMÝR SAHASI;TRYAL-009
2 NOLU DEMÝR SAHASI;TRYAL-010
GÝSAN ALTINOVA TERSANESÝ;TRYAL-012
GÝRGÝN KALE TERSANESÝ;TRYAL-013
GEMAK TERSANESÝ;TRYAL-014
PARK TERSANESÝ;TRYAL-015
DOÐRUYOL TERSANECÝLÝK;TRYAL-016
CEMRE TERSANESÝ;TRYAL-017
ÇAKIRLAR TERSANESÝ;TRYAL-018
BEÞÝKTAÞ TERSANESÝ;TRYAL-019
ARI TERSANESÝ;TRYAL-020
ALTINOVA TERSANESÝ;TRYAL-021
KAMER MARINE TERSANESÝ;TRYAL-023
SEFÝNE TERSANESÝ;TRYAL-024
KUZEY STAR TERSANESÝ;TRYAL-025
KARADENÝZ HOLDÝNG TERSANESÝ;TRYAL-027
EROL ÞENKAYA TERSANESÝ;TRYAL-028
AYKIN TERSANECÝLÝK;TRYAL-029
GÖK DENÝZCÝLÝK YALOVA TAVÞANLI;TRYAL-033
HATSAN TERSANESÝ;TRYAL-034
HÝCRÝ ERCÝLÝ TERSANECÝLÝK;TRYAL-035
TOPÇULAR ARABALI VAPUR ÝSKELESÝ;TRYAL-036
YALOVA HIZLI FERÝBOT ÝSKELESÝ;TRYAL-037
ÇINARCIK BALIKÇI BARINAÐI;TRYAL-038
ESENKÖY BALIKÇI BARINAÐI;TRYAL-039
MERKEZ BALIKÇI BARINAÐI;TRYAL-040
YALOVA TEÞVÝKÝYE ÝSKELESÝ;TRYAL-041
YALOVA KOCADERE ÝSKELESÝ;TRYAL-042
ESENKÖY BALIKCI BARINAÐI;TRYAL-043
DEREAÐZI BALIKÇI BARINAÐI;TRYAL-044
YÜKSEL TERSANESÝ;TRYAL-045
SELTAÞ TERSANESÝ;TRYAL-046
ARÝF KALKAVANOÐLU TERSANESÝ;TRYAL-047
GÜRDESAN TERSANESÝ;TRYAL-048
BOÐAZÝÇÝ TERSANESÝ;TRYAL-049
HERÇELÝK TERSANESÝ;TRYAL-050
ICT YAT TERSANESÝ;TRYAL-051
DEN-TA DENÝZCÝLÝK TERSANESÝ;TRYAL-053
ÝDO MERKEZ DENÝZ OTOBÜSÜ ÝSKELESÝ;TRYAL-054
KORUKÖY BALIKÇI BARINAÐI;TRYAL-055
CEMRE MÜHENDÝSLÝK TERSANESÝ;TRYAL-056
HERSEK TERSANESÝ;TRYAL-057
KARSAN TERSANESÝ;TRYAL-058
ÝDO ÇINARCIK DENÝZ OTOBÜSÜ ÝSKELESÝ;TRYAL-059
ÖZATA DENÝZCÝLÝK TERSANESÝ;TRYAL-060
BÝLGÝN YATÇILIK TERSANESÝ;TRYAL-061
TISG TURKEY YAT TERSANECÝLÝK A.Þ.;TRYAL-062
YALOVA GEMÝ TERSANECÝLÝK;TRYAL-063
EREN LÝMANI;TRZON-001
TTK ZONGULDAK LÝMANI;TRZON-002
FÝLYOS LÝMANI;TRZON-003
FÝLYOS TÜRKÝYE PETROLLERÝ LÝMANI;TRZON-004
1-A DEMÝR SAHASI;TRZON-005
1-B DEMÝR SAHASI;TRZON-006
2-A DEMÝR SAHASI;TRZON-007
2-B DEMÝR SAHASI;TRZON-008
3-A DEMÝR SAHASI;TRZON-009
3-B DEMÝR SAHASI;TRZON-010
DEMÝR SAHASI;TR002-001
BAÐIRGANLI BALIKÇI BARINAÐI;TR002-002
KEFKEN BALIKÇI BARINAÐI;TR002-003
DEMÝR SAHASI;TR003-001
SUGÖZÜ ENERJÝ SANTRALÝ ÝSKELESÝ;TR01M-001
SANKO LÝMAN TESÝSÝ;TR01M-002
BOTAÞ CEYHAN TERMÝNALÝ;TR01M-003
BTC HAYDAR ALÝYEV DENÝZ TERMÝNALÝ;TR01M-004
SÖNMEZ ÇÝMENTO LÝMAN TESÝSÝ;TR01M-005
AKDENÝZ GEMÝ ÝNÞA TERSANESÝ;TR01M-006
TOROS TARIM CEYHAN TERMÝNALÝ;TR01M-007
EMBA LÝMANI;TR01M-008
1 NOLU  DEMÝR SAHASI (TEHLÝKELÝ YÜK TAÞIYANLAR);TR01M-009
2 NOLU  DEMÝR SAHASI;TR01M-010
3 NOLU  DEMÝR SAHASI;TR01M-011
4 NOLU  DEMÝR SAHASI;TR01M-012
CÝDE DEMÝR BÖLGESÝ;TR027-001
KARASU LÝMANI;TR039-001
DEMÝRLEME SAHASI;TR039-002
ANADOLU TERSANESÝ;TR092-001
ARGEM TERSANECÝLÝK;TR092-002
ÇEKSAN TERSANESÝ;TR092-003
ÇÝNDEMÝR TERSANESÝ;TR092-005
DEARSAN TERSANESÝ;TR092-006
NEWPORT SHIPPING;TR092-007
DENTAÞ TERSANESÝ;TR092-008
DESAN TERSANESÝ;TR092-009
DESAN TERSANESÝ KÜÇÜK HAVUZ;TR092-010
GEMAK TERSANESÝ;TR092-011
GEMDOK;TR092-012
GEMTÝÞ TERSANESÝ;TR092-013
GÝSAN GEMÝ ÝNÞA SANAYÝ VE TÝC;TR092-014
GÝSAÞ RIHTIMI;TR092-015
HÝDRODÝNAMÝK TERSANESÝ;TR092-016
ÝSTANBUL TERSANESÝ;TR092-017
PENDÝK ASKERÝ TERSANE;TR092-019
SEDEF GEMÝ ÝNÞAA AÞ.;TR092-021
ADA TERSANESÝ (2. TESÝS);TR092-022
ÞAHÝN ÇELÝK TERSANESÝ;TR092-024
DENTAÞ TERSANESÝ ÝSTANBUL ÞB.;TR092-025
TORLAK TERSANESÝ;TR092-026
TUZLA DEMÝR;TR092-028
TUZLA GEMÝ END.TERSANESÝ;TR092-029
TUZLA TERSANECÝLÝK VE TURÝZM;TR092-030
TÜRKTER TERSANESÝ;TR092-031
UN RO-RO PENDÝK TERMÝNALÝ;TR092-032
YARDGEM TERSANESÝ;TR092-033
ART GEMÝ ÝNÞA VE TERSANECÝLÝK HÝZMETLERÝ A.Þ. (1. TESÝS);TR092-034
YILDIRIM TERSANESÝ;TR092-035
TUZLA VÝAPORT MARÝNA;TR092-036
KARTAL KUMCULAR ÝSKELELERÝ;TR092-037
ASTAÞ ASLAN TERSANECÝLÝK;TR092-038
ÇELÝKTRANS TERSANESÝ;TR092-039
AYKIN TERSANESÝ;TR092-040
ARKADAÞ TEKNE ÝMAL;TR092-041
ADA TERSANESÝ (1. TESÝS);TR092-042
YONCA ONUK TEKNE ÝMAL;TR092-043
YILDIZ TERSANESÝ;TR092-044
URSA TERSANESÝ;TR092-045
TUZLA ÝDO TERMÝNALÝ;TR092-046
TUZLA DLH LÝMANI;TR092-047
TUZLA BELEDÝYE ÝSKELESÝ;TR092-048
TURQUOISE YAT;TR092-049
TERSAN TERSANESÝ;TR092-050
SS YENÝ TÝC.TUR.DZ.ARÇ.YP.KOOP;TR092-051
SNR GEMÝ ÝNÞA TERSANESÝ;TR092-052
SELAHATTÝN TELCÝ TERSANESÝ;TR092-053
SANMAR TERSANESÝ;TR092-054
RMK MARINE TERSANESÝ;TR092-055
PIRLANT YAT ÇEKEK;TR092-056
ANADOLU PORT;TR092-057
PENDÝK ÝDO TERMÝNALÝ;TR092-058
ÖZKARADENÝZ TERSANESÝ;TR092-059
NESA TERSANESÝ;TR092-060
KPT TERSANESÝ;TR092-062
KARTAL ÝDO TERMÝNALÝ;TR092-063
KARTAL DEMÝR YERÝ;TR092-064
ÝSTANBUL DZ. GEMÝ ÝNÞ.TERSANESÝ;TR092-065
ART GEMÝ ÝNÞA VE TERSANECÝLÝK HÝZMETLERÝ A.Þ. (2. TESÝS);TR092-066
ENGÝN DENÝZCÝLÝK ÝÞLETMESÝ SAN;TR092-067
ENGÝN DENÝZCÝLÝK TERSANESÝ;TR092-068
ERKAL TERSANESÝ;TR092-069
PENDÝK MARÝNTÜRK MARÝNA;TR092-070
Tuzlaport Tersanesi;TR092-071
POLI SHIPYARD TERSANESÝ;TR092-072
