sube_adi;sube_il_kodu;sube_kodu;
BEŞEVLER SANAYİ;016;004600995016;
BURSA;016;004600043016;
BURSA OSB;016;004600219016;
BURSA TICARI;016;004600838016;
ÇEKİRGE/BURSA;016;004600605016;
DOSAB BURSA ŞUBESİ;016;004601237016;
ERTUĞRULKENT ŞUBESİ;016;004601179016;
FSM BULVARI ŞUBESİ;016;004600887016;
GARAJLAR/BURSA;016;004600111016;
GEMLİK;016;004600048016;
GENÇOSMAN/BURSA;016;004600307016;
HÜRRİYET/BURSA;016;004600431016;
İNEGÖL/BURSA;016;004600168016;
İZMİRYOLU/BURSA ŞUBESİ;016;004601196016;
KARACABEY/BURSA;016;004600478016;
KESTEL ŞUBESİ;016;004601211016;
KORUPARK ŞUBESI;016;004600550016;
M.KEMALPAŞA/BURSA;016;004600210016;
MUDANYA/BURSA;016;004600562016;
ORHANGAZİ/BURSA;016;004600490016;
SANAYİ İNEGÖL ŞUBESİ;016;004601076016;
TUZPAZARI/BURSA;016;004600079016;
VİŞNE CADDESİ ŞUBESİ;016;004601206016;
YALOVAYOLU ŞUBESİ;016;004600811016;
YEŞİLYAYLA ŞUBESİ;016;004600680016;
YILDIRIM /BURSA;016;004600574016;
BİGA;017;004600195017;
ÇANAKKALE;017;004600214017;
ÇAN/ÇANAKKALE;017;004600526017;
EZİNE/ÇANAKKALE;017;004600575017;
GELİBOLU;017;004600205017;
ÇANKIRI;018;004600031018;
BAHABEY CADDESİ;019;004600683019;
ÇORUM;019;004600089019;
OSMANCIK/CORUM;019;004600548019;
ÇİVRİL/DENİZLİ;020;004600469020;
DELİKLİÇINAR/DENİZLİ;020;004600332020;
DEMOKRASİ MEYDANI ŞUBESİ;020;004601339020;
DENİZLİ;020;004600012020;
DENİZLİ SANAYİ ŞUBESİ;020;004600699020;
KALEİÇİ/DENİZLİ;020;004600384020;
PAMUKKALE SANAYI ŞUBESI;020;004600865020;
TAVAS/DENİZLİ;020;004600481020;
DİCLE ŞUBESİ;021;004601372021;
DİCLEKENT BULVARI ŞUBESİ;021;004601360021;
DİYARBAKIR;021;004600008021;
DİYARBAKIR SANAYİ;021;004601420021;
KAYAPINAR ŞUBESİ;021;004601186021;
OFİS/DİYARBAKIR;021;004600568021;
EDİRNE;022;004600120022;
KEŞAN;022;004600094022;
UZUNKÖPRÜ;022;004600126022;
ELAZIĞ;023;004600025023;
FIRAT ŞUBESİ;023;004601109023;
ERZİNCAN;024;004600147024;
ERZURUM;025;004600041025;
LALAPAŞA/ERZURUM;025;004600278025;
ATATÜRK BULVARI/ESKİŞEHİR ŞUBESİ;026;004601100026;
ESKİŞEHİR;026;004600026026;
ESKİŞEHİR OSB ŞUBESİ;026;004601268026;
İSTASYON CAD./ESKİŞEHİR;026;004600322026;
KÖPRÜBAŞI /ESKİŞEHİR;026;004600155026;
BİNEVLER ŞUBESİ;027;004601256027;
DEGIRMICEM GAZIANTEP;027;004600642027;
GARAJLAR/GAZİANTEP;027;004600303027;
GATEM;027;004600662027;
GAZİANTEP;027;004600057027;
GAZİANTEP TİCARİ;027;004600875027;
İBRAHİMLİ ŞUBESİ;027;004600231027;
KARATAŞ ŞUBESİ;027;004601225027;
KARŞIYAKA/GAZİANTEP;027;004600385027;
NİZİP/GAZİANTEP;027;004600400027;
ORGANİZE SANAYİ/G.ANTEP ŞUBESİ;027;004601201027;
PAZARYERİ /GAZİANTEP;027;004600090027;
BULANCAK/GİRESUN;028;004600445028;
ESPİYE/GİRESUN;028;004600517028;
GİRESUN;028;004600286028;
GÖRELE/GİRESUN;028;004600294028;
TİREBOLU/GİRESUN;028;004600387028;
GÜMÜŞHANE ŞUBESİ;029;004601223029;
ANTAKYA;031;004600088031;
DÖRTYOL/HATAY;031;004600446031;
İSKENDERUN;031;004600035031;
İSTİKLAL CAD./ANTAKYA;031;004600623031;
KIRIKHAN/HATAY;031;004600381031;
REYHANLI/HATAY;031;004600457031;
ISPARTA;032;004600105032;
ANAMUR/MERSİN;033;004600504033;
ERDEMLİ/MERSİN;033;004600590033;
GMK BULVARI ŞUBESİ;033;004601386033;
İNÖNÜ BULVARI ŞUBESİ;033;004600109033;
LİMAN/MERSİN;033;004600824033;
MERSİN;033;004600018033;
MERSİN SERBEST BÖLGE ŞUBESİ;033;004600622033;
METROPOL ŞUBESİ;033;004600280033;
MEZİTLİ ŞUBESİ;033;004600747033;
POZCU/MERSİN;033;004600362033;
SİLİFKE/İÇEL;033;004600492033;
TARSUS;033;004600074033;
TOROSLAR ŞUBESİ;033;004601075033;
YENİHAL;033;004600674033;
ACARKENT ŞUBESI;034;004601362034;
ACIBADEM/ISTANBUL;034;004600736034;
