sube_adi;sube_il_kodu;sube_kodu;
DİYARBAKIR;021;001209326021;
DİYARBAKIR NAKİT OPR.MERKEZİ;021;001209238021;
DİYARBAKIR ORGANİZE SAN ŞUBESİ;021;001201727021;
ERGANİ/DİYARBAKIR;021;001209322021;
GIDA CARSISI SUBESI/DIYARBAKIR;021;001201244021;
KARACADAĞ ŞUBESİ/DİYARBAKIR;021;001201551021;
KAYAPINAR SUBESI/ DIYARBAKIR;021;001201212021;
OFİS/DİYARBAKIR;021;001209325021;
SANAYİ SİTESİ/DİYARBAKIR;021;001209324021;
SİLVAN ŞUBESİ/DİYARBAKIR;021;001201224021;
EDİRNE;022;001209335022;
EDİRNE NAKİT OPERASYON MERKEZİ;022;001201569022;
İPSALA/EDİRNE;022;001209338022;
KEŞAN/EDİRNE;022;001209337022;
SELIMIYE SUBESI/EDIRNE;022;001201431022;
UZUNKÖPRÜ/EDİRNE;022;001209336022;
ELAZIĞ;023;001209331023;
FIRAT ELAZIĞ ŞUBESİ;023;001201841023;
HÜRRİYET ŞUBESİ / ELAZIĞ;023;001201565023;
KARAKOÇAN/ELAZIĞ;023;001209334023;
KOVANCILAR SUBESI/ELAZIG;023;001201452023;
SANAYİ SİTESİ/ELAZIĞ;023;001209332023;
ATATÜRK MAHALLESİ ŞB./ERZİNCAN;024;001201573024;
ERZİNCAN;024;001209344024;
REFAHİYE ERZİNCAN ŞUBESİ;024;001201679024;
TERCAN ERZİNCAN ŞUBESİ;024;001201799024;
ATATÜRK ÜNİV. ŞB / ERZURUM;025;001201677025;
AYAZPASA SUBESI/ERZURUM;025;001201281025;
CUMHURIYET CADDESI SB./ERZURUM;025;001201419025;
DADASKENT SUBESİ/ERZURUM;025;001201484025;
ERZURUM;025;001209342025;
ERZURUM NAKIT OPERASYON MERKEZ;025;001201349025;
HINIS SUBESI/ERZURUM;025;001201345025;
HORASAN ŞUBESİ / ERZURUM;025;001201665025;
ISPIR SB/ERZURUM;025;001201335025;
NARMAN ERZURUM ŞUBESİ;025;001201733025;
OLTU/ERZURUM;025;001209343025;
PALANDOKEN UYDU SUBESI/ERZURUM;025;001201444025;
PASİNLER ŞUBE / ERZURUM;025;001201563025;
SANAYI SITESI SUBESI/ERZURUM;025;001201245025;
YAKUTİYE ARŞ.HAST.UYDU ŞB /ERZ;025;001201568025;
ATATURK BULVARI SUBESI/ESKISEH;026;001201258026;
BAĞLAR ŞUBESİ/ESKİŞEHİR;026;001201517026;
ÇİFTELER/ESKİŞEHİR;026;001209349026;
ESKISEHIR NAKIT OPERASYON MERK;026;001201425026;
ESKİŞEHİR;026;001209348026;
ESKİŞEHİR OSB ŞUBESİ / ESK;026;001201598026;
İKİ EYLÜL ESKİŞEHİR ŞUBESİ;026;001201374026;
PORSUK ŞUBESİ / ESKİŞEHİR;026;001201279026;
SANAYI CARSISI SB./ESKISEHIR;026;001201230026;
SANAYİ SİTESİ/ESKİŞEHİR;026;001209351026;
SİVRİHİSAR/ESKİŞEHİR;026;001209350026;
ARABAN SUBESI/GAZIANTEP;027;001201434027;
BINEVLER SUBESI/GAZIANTEP;027;001201472027;
GATEM/GAZİANTEP ŞUBESİ;027;001209369027;
GAZIANTEP NAKIT OPERASYON MERK;027;001201426027;
GAZİANTEP;027;001209366027;
GAZİANTEP TİCARİ ŞB.;027;001209632027;
GAZİANTEP ÜNİVERSİTESİ/G.ANTEP;027;001201338027;
GAZİMUHTARPAŞA /G.ANTEP ŞUBESİ;027;001201428027;
İSLAHİYE/G.ANTEP;027;001209367027;
KARATAŞ ŞUBESİ / GAZİANTEP;027;001201549027;
NİZİP/G.ANTEP;027;001209368027;
ORG.SAN SİTESİ/G.ANTEP;027;001209372027;
SANAYI SITESI S.B./GAZIANTEP;027;001201246027;
ŞEHİTKAMİL/G.ANTEP;027;001209371027;
ŞİREHAN SB./GAZIANTEP;027;001201295027;
ÜNALDI ŞUBESİ/GAZİANTEP;027;001201555027;
ALUCRA GİRESUN ŞUBESİ;028;001201682028;
BULANCAK/GİRESUN;028;001209377028;
ESPIYE SUBESI/ GIRESUN;028;001201354028;
EYNESİL GİRESUN  ŞUBE;028;001201760028;
GİRESUN;028;001209376028;
GÖRELE/GİRESUN;028;001209380028;
OSMANAĞA GİRESUN ŞUBESİ;028;001201719028;
ŞEBİNKARAHİSAR/GİRESUN;028;001209378028;
TİREBOLU/GİRESUN;028;001209379028;
GÜMÜŞHANE;029;001209381029;
KELKİT ŞUBESİ/GÜMÜŞHANE;029;001201519029;
KÜRTÜN GÜMÜŞHANE ŞUBESİ;029;001201689029;
ŞİRAN GÜMÜŞHANE ŞUBESİ;029;001201543029;
TORUL ŞUBESİ/GÜMÜŞHANE;029;001201542029;
HAKKARİ;030;001209382030;
ŞEMDİNLİ ŞUBESİ / HAKKARİ;030;001201587030;
YÜKSEKOVA/HAKKARİ;030;001209383030;
ALTINÖZÜ HATAY  ŞUBESİ;031;001201686031;
ANTAKYA SANAYİ SİT.HATAY ŞB.;031;001201375031;
ANTAKYA ŞB.;031;001209222031;
ARSUZ HATAY ŞUBESİ;031;001201779031;
DEFNE HATAY ŞUBESİ;031;001201761031;
DENİZCİLER İSKENDERUN HATAYŞB.;031;001201697031;
DÖRTYOL/HATAY ŞB.;031;001209226031;
ERZİN HATAY ŞUBESİ;031;001201696031;
HASSA HATAY ŞUBESİ;031;001201770031;
ISKENDERUN TICARI SUBESI/HATAY;031;001201318031;
İSKENDERUN/HATAY ŞB.;031;001209223031;
KARAAĞAÇ HATAY ŞUBESİ;031;001201824031;
KIRIKHAN/HATAY ŞB.;031;001209224031;
KÖPRÜBAŞI/HATAY ŞB.;031;001209229031;
MUSTAFA KEMAL ÜNİV.UYDU ŞB./HA;031;001201512031;
PAYAS/ANTAKYA ŞB.;031;001209228031;
REYHANLI/HATAY ŞB.;031;001209225031;
SAMANDAĞ/HATAY ŞB.;031;001209227031;
YAYLADAĞI HATAY  ŞB.;031;001201766031;
5 TEMMUZ SUBESI/HATAY;031;001201468031;
EĞİRDİR/ISPARTA;032;001209547032;
GELENDOST/ISPARTA;032;001209548032;
ISPARTA;032;001209545032;
KEÇİBORLU ISPARTA ŞB.;032;001201711032;
SANAYİ SİTESİ SUBE /ISPARTA;032;001209549032;
SENİRKENT ISPARTA ŞUBESİ;032;001201786032;
SÜLEYMAN DEMİREL ÜNV. ŞB./ISPA;032;001201339032;
ŞARKİKARAAĞAÇ ISPARTA ŞB;032;001201757032;
YALVAÇ/ISPARTA;032;001209546032;
ANAMUR/MERSİN;033;001209595033;
BOZYAZI MERSİN ŞUBESİ;033;001201751033;
DEREBOYU LEFKOŞA ŞUBESİ;033;001201813033;
ERDEMLİ/MERSİN;033;001209596033;
GAZİMAGOSA/K.K.T.C.;033;001209899033;
GİRNE ŞUBESİ/KKTC;033;001201218033;
GÖNYELİ ŞUBESİ / KKTC;033;001201675033;
GÜLNAR MERSİN ŞUBESİ;033;001201491033;
HAL ŞUBESİ/MERSİN;033;001201394033;
İSKELE ŞUBESİ/KKTC;033;001201814033;
KARAOĞLANOĞLU GİRNE ŞB;033;001201763033;
LEFKOŞE/KKTC;033;001209898033;
MERSIN TICARI SUBESI;033;001201393033;
MERSİN;033;001209591033;
METROPOL/MERSİN;033;001209594033;
MEZITLI SUBESI/MERSIN;033;001201203033;
MUT/MERSİN;033;001209597033;
POZCU/MERSİN;033;001209599033;
SANAYİ SİTESİ/MERSİN;033;001209598033;
SİLİFKE/MERSİN;033;001209593033;
TARSUS/MERSİN;033;001209592033;
TOROSLAR SUBESI/MERSIN;033;001201427033;
YEŞİLYOL TARSUS MERSİN ŞB;033;001201740033;
ACIBADEM SUBESI/ISTANBUL;034;001201341034;
ADATEPE ŞUBESİ / İSTANBUL;034;001201560034;
AKSARAY/İSTANBUL;034;001209849034;
ALIBEYKOY SB./ISTANBUL;034;001201330034;
ALTUNIZADE SUBESI/ISTANBUL;034;001201315034;
ALTUNİZADE TİCARİ ŞUBESİ;034;001209896034;
ANADOLU ADALET SARAYI ŞB/İST;034;001201533034;
ANADOLU KURUMSAL SUBE/İST;034;001209836034;
ARNAVUTKOY SUBESI/ISTANBUL;034;001201280034;
ATAKÖY 5. KISIM ŞUBESİ;034;001209825034;
ATAKÖY/İST.;034;001209852034;
ATALAR İSTANBUL ŞUBESİ;034;001201586034;
ATASEHIR SUBESI/ISTANBUL;034;001201456034;
ATATÜRK MAH. HALKALI ŞB/İST;034;001201649034;
AVCILAR E-5 SUBESI/ISTANBUL;034;001201357034;
AVCILAR TİCARİ İSTANBUL ŞUBESİ;034;001209616034;
AVCILAR/İST.;034;001209858034;
AVRUPA KURUMSAL İSTANBUL ŞB;034;001209837034;
AYAZAGA SUBESI/ISTANBUL;034;001201399034;
AYKOSAN ŞUBESİ / İSTANBUL;034;001201629034;
BAĞCILAR/İSTANBUL;034;001209550034;
BAHCESEHIR SUBESI/ISTANBUL;034;001201272034;
BAHÇELİEVLER/İST;034;001209827034;
BAKIRKÖY/İST.;034;001209763034;
BANKALAR CADDESİ ŞB / İSTANBUL;034;001209136034;
BASAKSEHIR SUBESI/ISTANBUL;034;001201469034;
BAYRAMPAŞA TİCARİ ŞUBE  / İST.;034;001209634034;
BAYRAMPAŞA/İST.;034;001209762034;
BEBEK/İSTANBUL;034;001209147034;
BEŞİKTAŞ/İST.;034;001209764034;
BEŞYÜZEVLER/İST.;034;001209882034;
BEYAZIT ŞB /İSTANBUL;034;001209820034;
BEYKENT SUBESI/ISTANBUL;034;001201285034;
BEYKOZ/İST.;034;001209759034;
BEYLİKDÜZÜ/İSTANBUL;034;001209817034;
BEYOĞLU/İST.;034;001209799034;
BOMONTİ İSTANBUL ŞUBESİ;034;001209765034;
BOSNA BULVARI ÇENGELKÖY İST;034;001201745034;
BOSTANCI OTO SAN.SİT./İST.;034;001209889034;
BULVAR ESENYURT İST. ŞB.;034;001201640034;
BÜYÜKÇEKMECE/İST.;034;001209880034;
CADDEBOSTAN/İST.;034;001209875034;
CAĞALOĞLU/İST.;034;001209758034;
CAKMAK SUBESI/ISTANBUL;034;001201306034;
CERRAHPAŞA İSTANBUL ŞUBESİ;034;001201530034;
CEVIZLI SUBESI/ISTANBUL;034;001201340034;
CİHANGİR ŞUBESİ / İSTANBUL;034;001201639034;
CUMHURİYET CADDESİ/ESENYURT ŞB;034;001201581034;
ÇAĞLAYAN ŞUBESİ / İSTANBUL;034;001201634034;
ÇAPA/İST.;034;001209859034;
ÇATALCA/İST.;034;001209756034;
ÇEKMEKÖY MİMAR SİNAN İST ŞB;034;001201499034;
ÇEKMEKÖY ŞUBESİ/İSTANBUL;034;001201209034;
ÇENGELKÖY ŞUBESİ / İSTANBUL;034;001201593034;
DEMİRCİLER SİTESİ ŞUBESİ / İST;034;001201661034;
DES SANAYİ SİTESİ ŞB./İST.;034;001201547034;
DIŞ İŞLEMLER OPERASYONLARI DB;034;001209958034;
DİJİTAL İSTANBUL KURUMSAL ŞUBE;034;001201846034;
DOĞ.KÜÇ.SAN.SİT/İST.;034;001209847034;
DOLAYOBA İSTANBUL ŞUBESİ;034;001209841034;
DUDULLU SUBESI/ISTANBUL;034;001201414034;
ELMADAĞ ŞUBESİ/STANBUL;034;001209751034;
ELMADAĞ TİCARİ / İST.;034;001209625034;
ESENLER/İST.;034;001209795034;
ESENYURT/İSTANBUL ŞUBESİ;034;001209604034;
ETİLER/İST;034;001209823034;
EYÜPSULTAN ŞUBESİ / İST.;034;001209768034;
FATİH/İST.;034;001209754034;
FERAHEVLER SB./ISTANBUL;034;001201362034;
FERHATPAŞA ŞUBESİ/İSTANBUL;034;001201488034;
FİRUZKÖY ŞUBESİ / İSTANBUL;034;001201582034;
FLORYA İSTANBUL ŞUBESİ;034;001201350034;
FULYA SUBESI/ISTANBIL;034;001201336034;
GAYRETTEPE KUR.BANK.MERK.;034;001209450034;
GAYRETTEPE ŞUBESİ/İSTANBUL;034;001209850034;
GAZİOSMANPAŞA/İST.;034;001209766034;
GIDA TOPTAN. ÇARŞISI İST. ŞB.;034;001201816034;
GÖKTÜRK İSTANBUL ŞUBESİ;034;001201684034;
GÖZTEPE/İSTANBUL;034;001209854034;
GUNESLI CARSI SUBESI/ISTANBUL;034;001201316034;
GUNGOREN SANAYI SUBESI/ISTANBU;034;001201441034;
GÜLTEPE/İST.;034;001209798034;
GÜNESLI SUBESI /İSTANBUL;034;001209816034;
GÜNEŞLİ TİCARİ ŞB. / İST.;034;001209611034;
GÜNGÖREN;034;001209120034;
GÜRPINAR ŞB. / İSTANBUL;034;001201210034;
HADIMKÖY TİCARİ ŞUBESİ;034;001209606034;
HADIMKÖY/İSTANBUL;034;001209843034;
HALKALI/İST.;034;001209878034;
HASIRCILAR/İST.;034;001209891034;
HAZİNE OPERASYONLARI DAİRE BŞK;034;001209909034;
IHLAMURKUYU SUBESI/ISTANBUL;034;001201293034;
IKITELLI ORGANIZE SAN. SUBESI/;034;001201482034;
IMSAN SANAYI SITESI SB./ISTANB;034;001201337034;
İÇERENKÖY ŞUBESİ / İSTANBUL;034;001201658034;
İFM ÖZEL BANKACILIK ŞUBESİ;034;001201849034;
İKİTELLİ TİCARİ/ İSTANBUL;034;001209608034;
İKİTELLİ/İST;034;001209815034;
İMES TİCARİ ŞUBESİ / İST.;034;001209615034;
İMES/İST.;034;001209855034;
İNCİRLİ ŞUBESİ / İSTANBUL;034;001201588034;
İSTANBUL ANADOLU NOM;034;001201691034;
İSTANBUL DERİ ORG SAN BÖL /İST;034;001201559034;
İSTANBUL İHTİSAS SERBEST BÖLGE;034;001209894034;
İSTANBUL KURUMSAL ŞUBESİ;034;001201690034;
İSTANBUL NAKİT OPERASYON MRK.;034;001209440034;
İSTANBUL TİCARİ ŞUBESİ;034;001209123034;
İSTOÇ/İST.;034;001209879034;
KADIKÖY/İSTANBUL;034;001209140034;
KAGITHANE SUBESI/ISTANBUL;034;001201278034;
KAĞITHANE MEYDAN ŞB / İST;034;001201632034;
KAPALIÇARŞI/İSTANBUL;034;001209124034;
KARAKÖY ŞB.;034;001209142034;
KARTAL BULVAR SUBESI/ISTANBUL;034;001201481034;
KARTAL/İST.;034;001209757034;
KASIMPASA SUBESI/ISTANBUL;034;001201271034;
KAVACIK SUBESI/ISTANBUL;034;001201473034;
KAYAŞEHİR ŞUBESİ/İSTANBUL;034;001201777034;
KAYNARCA SB./ISTANBUL;034;001201298034;
KAZASKER/İST.;034;001209883034;
KIRAÇ ŞUBESİ / İSTANBUL;034;001201595034;
KIZILTOPRAK/İSTANBUL;034;001209133034;
KOCASINAN ŞSUBESI/ISTANBUL;034;001201284034;
KOSUYOLU SUBESI/ISTANBUL;034;001201292034;
KOZYATAGI TICARI SUBESI/ISTANB;034;001201282034;
KOZYATAĞI ŞUBESİ / İSTANBUL;034;001201631034;
KREDİ KARTLARI MERKEZİ;034;001209916034;
KUCUKBAKKALKOY SUBESI/ISTANBUL;034;001201313034;
KUCUKKOY SANAYI SUBESI/ISTANBU;034;001201420034;
KURTKÖY SUBESI/ ISTANBUL;034;001201249034;
KUYUBAŞI İSTANBUL ŞB.;034;001209866034;
KÜÇÜKÇEKMECE/İST.;034;001209865034;
KÜÇÜKKÖY/İST.;034;001209767034;
KÜÇÜKSU ŞUBESİ / İSTANBUL;034;001201592034;
KÜÇÜKYALI/İST.;034;001209769034;
LEVENT/İST.;034;001209860034;
LIBADIYE SUBESI/ISTANBUL;034;001201368034;
MALTEPE E-5 ŞUBESİ / İSTANBUL;034;001201656034;
MALTEPE/İSTANBUL;034;001209792034;
MARMARA KURUMSAL SUBESI/ISTANB;034;001201451034;
MASLAK/İST.;034;001209761034;
MECİDİYEKÖY TİCARİ ŞUBE / İST.;034;001209626034;
MECİDİYEKÖY/İST;034;001209819034;
MEDİPOL HASTANESİ İST UYDU ŞB;034;001201787034;
MEGA CENTER ŞUBESİ/İSTANBUL;034;001201220034;
MERCAN/İST.;034;001209800034;
MERKEZ EFENDI SUBESI/ISTANBUL;034;001201276034;
MERKEZ İSTANBUL ŞUBESİ;034;001201466034;
MERTER TİCARİ / İSTANBUL;034;001209620034;
MERTER/İST.;034;001209853034;
MIMAROBA SUBESI/ISTANBUL;034;001201322034;
MODA/İST.;034;001209851034;
MOZAİK ÇARŞI ŞUBESİ/İSTANBUL;034;001201275034;
NATO YOLU ŞUBESİ / İSTANBUL;034;001201657034;
NİŞANTAŞI/İST.;034;001209805034;
OKMEYDANI SUBESI/ISTANBUL;034;001201305034;
ÖRNEK MAH./İST.;034;001209861034;
PANGALTI İSTANBUL ŞUBESİ;034;001201630034;
PENDİK GÜZELYALI ŞUBESİ / İST;034;001201642034;
PENDİK SAHİL ŞUBE / İST;034;001201633034;
PENDİK ŞUBESİ /İST.;034;001209869034;
PENDİK TİCARİ ŞUBESİ/İSTANBUL;034;001209619034;
PERPA/İST.;034;001209862034;
RAMİ/İST;034;001209822034;
RIHTIM-KADIKÖY/İST.;034;001209753034;
SAHRAYICEDİT/İST.;034;001209874034;
SANAYİ-LEVENT/İST;034;001209840034;
SANCAKTEPE SUBESI/ISTANBUL;034;001201291034;
SARIYER/İST.;034;001209863034;
SEFAKÖY İNÖNÜ ŞUBESİ;034;001201668034;
SEFAKÖY/İST.;034;001209794034;
SERİFALİ ŞUBESİ / İSTANBUL;034;001201274034;
SEYRANTEPE SUBESI/ISTANBUL;034;001201273034;
SIYAVUSPASA SUBESI/ISTANBUL;034;001201289034;
SİLİVRİ E/5 SUBESI/ISTANBUL;034;001201378034;
SİLİVRİ/İST.;034;001209755034;
SOGANLIK SUBESI/ISTANBUL;034;001201358034;
SOĞANLI ŞUBESİ / İSTANBUL;034;001201599034;
SUADİYE/İSTANBUL;034;001209149034;
SULTANBEYLİ TEM İST.ŞUBESİ;034;001201477034;
SULTANBEYLİ/İST.;034;001209647034;
SULTANÇİFTLİĞİ / İSTANBUL;034;001201208034;
SULTANGAZİ İSTANBUL ŞUBESİ;034;001201742034;
SULTANHAMAM ŞUBESİ / İSTANBUL;034;001209848034;
ŞİLE/İST.;034;001209797034;
ŞİRİNEVLER/İST.;034;001209857034;
ŞİŞLİ/İSTANBUL;034;001209143034;
ŞUBE OPERASYONLARI DAİRE BAŞK.;034;001209928034;
TAHTAKALE ŞUBESİ/İSTANBUL;034;001209141034;
TASDELEN SUBESI/ISTANBUL;034;001201458034;
TAVUKÇUYOLU ŞUBESİ/İSTANBUL;034;001201492034;
TEKNOPARK İSTANBUL ŞUBESİ;034;001201651034;
TEKSTİLKENT ŞUBESİ/İSTANBUL;034;001201585034;
TERAZIDERE SUBESI/ISTANBUL;034;001201356034;
TOPÇULAR;034;001209846034;
TOPKAPI SANAYİ İSTANBUL ŞB.;034;001201363034;
TOPKAPI/İST.;034;001209856034;
TOPLU KONUT VE TAAH HİZ BÖL;034;001209955034;
TUGAY YOLU ŞUBESİ / İSTANBUL;034;001201662034;
TUMSAN SANAYI SITESI SB./ISTAN;034;001201287034;
TUZLA ORGANIZE SB./ISTANBUL;034;001201308034;
TUZLA-ICMELER SUB./ISTANBUL;034;001201379034;
TUZLA/İSTANBUL;034;001209551034;
ULUYOL CADDESİ ŞUBESİ/İSTANBUL;034;001201498034;
UNKAPANI/İST;034;001209818034;
ÜÇYÜZLÜ ŞUBESİ / İSTANBUL;034;001201676034;
ÜMRANİYE SANTRAL ŞB / İSTANBUL;034;001201637034;
ÜMRANİYE/İST.;034;001209796034;
ÜSKÜDAR/İSTANBUL;034;001209752034;
VATAN CAD./İST.;034;001209887034;
VERGİ YÖNT.VE ÖDEMELER D.BŞK.;034;001209999034;
YAKACIK ŞUBESİ / İSTANBUL;034;001201594034;
YAKUPLU SUBESI/ ISTANBUL;034;001201286034;
YENİBOSNA ŞUBESİ/ISTANBUL;034;001201283034;
YENİDOĞAN İSTANBUL ŞUBESİ;034;001201826034;
YENİKÖY ŞUBESİ / İSTANBUL;034;001201648034;
YEŞİLKÖY/İSTANBUL ŞUBESİ;034;001209890034;
YEŞİLPINAR ÇARŞI İSTANBUL ŞUBE;034;001201822034;
YEŞİLYURT/İSTANBUL;034;001209126034;
YILDIZTABYA ŞUBESİ / İSTANBUL;034;001201644034;
YILDIZTEPE-BAGCILAR SUBESI/IST;034;001201423034;
ZEYTİNBURNU/İST.;034;001209793034;
ALAÇATI İZMİR ŞUBESİ;035;001201478035;
ALİAĞA/İZMİR;035;001209727035;
ALSANCAK/İZMİR;035;001209731035;
ALTINDAĞ/İZMİR;035;001209748035;
ATA SANAYİ SİTESİ ŞB/IZMIR;035;001201470035;
ATAKENT İZMİR ŞUBESİ;035;001201820035;
ATATÜRK ORG.SAN./İZMİR;035;001209742035;
AYRANCILAR SB./IZMIR;035;001201369035;
BALÇOVA/İZMİR;035;001209723035;
BASMANE/İZMİR;035;001209733035;
BAYINDIR SUBESI/IZMIR;035;001201437035;
BAYRAKLI/İZMİR;035;001209743035;
BERGAMA/İZMİR;035;001209707035;
BEYDAĞ İZMİR ŞUBESİ;035;001201793035;
BORNOVA/İZMİR;035;001209714035;
BOSTANLI/İZMİR;035;001209747035;
BUCA/İZMİR;035;001209745035;
ÇANKAYA/İZMİR;035;001209739035;
ÇEŞME/İZMİR;035;001209728035;
ÇİĞLİ İZMİR ŞUBESİ;035;001209718035;
DİKİLİ/İZMİR;035;001209722035;
ESKİİZMİR ŞUBESİ/İZMİR;035;001201562035;
EŞREFPAŞA/İZMİR;035;001209744035;
GAZİEMİR/İZMİR;035;001209746035;
GAZİLER CADDESİ ŞUBESİ /İZMİR;035;001209724035;
GİRNE BULVARI/İZMİR;035;001209738035;
GÜNDOĞDU ŞUBESİ/İZMİR;035;001209424035;
GÜZELBAHÇE/İZMİR;035;001209726035;
GÜZELYALI/İZMİR ŞUBESİ;035;001209429035;
HATAY/İZMİR;035;001209720035;
IŞIKKENT ŞUBESİ/İZMİR;035;001209417035;
İTOB İZMİR ŞUBESİ;035;001201776035;
İZMİR NAKİT OPR.MERKEZİ;035;001209421035;
İZMİR ŞUBESİ;035;001209430035;
İZMİR TICARİ ŞUBE;035;001209425035;
KARABAĞLAR/İZMİR;035;001209719035;
KARŞIYAKA/İZMİR;035;001209710035;
KEMALPASA ORGANIZE SAN BOL/IZM;035;001201319035;
KEMALPAŞA/İZMİR;035;001209716035;
KEMERALTI ŞUBESİ/İZMİR;035;001209432035;
KINIK İZMİR ŞUBESİ;035;001201735035;
KISIKKÖY SANAYİ SİTESİ /İZMİR;035;001209741035;
KİRAZ İZMİR ŞUBESİ;035;001201759035;
KONAK/İZMİR;035;001209734035;
MANAVKUYU ŞUBESİ / İZMİR;035;001201638035;
MENDERES/İZMİR;035;001209729035;
MENEMEN/İZMİR;035;001209712035;
MTK ÇARŞI İZMİR ŞUBESİ;035;001201717035;
NARLIDERE/İZMİR;035;001209735035;
OTO.TAM.2 S.S/İZMİR;035;001209717035;
OZKANLAR SUBESI/IZMIR;035;001201327035;
ÖDEMİŞ/İZMİR;035;001209706035;
ÖZDERE İZMİR ŞUBESİ;035;001201780035;
PINARBAŞI TİCARİ ŞUBE /İZMİR;035;001209609035;
PINARBAŞI/İZMİR;035;001209418035;
SANAYİ SİTESİ/İZMİR;035;001209708035;
SEFERİHİSAR/İZMİR;035;001209730035;
SELÇUK/İZMİR;035;001209715035;
ŞEMİKLER ANADOLU CAD. İZMİR ŞB;035;001201749035;
ŞİRİNYER/İZMİR;035;001209721035;
TINAZTEPE İZMİR ŞUBESİ;035;001201450035;
TİRE/İZMİR;035;001209709035;
TOPTANCILAR SİTESİ / İZMİR;035;001209437035;
TORBALI/İZMİR;035;001209711035;
URLA/İZMİR;035;001209713035;
ÜÇKUYULAR/İZMİR;035;001209740035;
YEŞİLYURT/İZMİR;035;001209725035;
4. SANAYİ SİTESİ ŞUBESİ/İZMİR;035;001201534035;
KAĞIZMAN KARS ŞUBESİ;036;001201795036;
KARS;036;001209480036;
SARIKAMIŞ/KARS;036;001209481036;
ARAÇ/KASTAMONU;037;001209485037;
BOZKURT KASTAMONU ŞUBESİ;037;001201769037;
CİDE KASTAMONU ŞUBESİ;037;001201713037;
İNEBOLU/KASTAMONU;037;001209486037;
İSTİKLAL YOLU KASTAMONU ŞUBESİ;037;001201807037;
KASTAMONU;037;001209482037;
SEYDİLER KASTAMONU UYDU ŞUBESİ;037;001201833037;
TAŞKÖPRÜ/KASTAMONU;037;001209484037;
TOSYA/KASTAMONU;037;001209483037;
DEVELİ/KAYSERİ;038;001209488038;
ERCIYES UNIVERSITESI SUBESI/KA;038;001201241038;
GALERİCİLER SİTESİ KAYSERİ ŞB;038;001209491038;
İNCESU KAYSERİ ŞUBESİ;038;001201746038;
KAYSERİ;038;001209487038;
KAYSERİ NAKİT OPERASYON.MERK.;038;001209506038;
KAYSERİ SERBEST BÖLGE ŞUBESİ;038;001201728038;
KAYSERİ TİCARİ ŞB.;038;001209492038;
MELIKGAZI SB./KAYSERI;038;001201366038;
MİLLET CADDESİ ŞB / KAYSERİ;038;001201647038;
MİMARSİNAN OSB KAYSERİ ŞUBESİ;038;001201721038;
MOBİLYAKENT KAYSERİ ŞUBESİ;038;001201724038;
ORGANİZE SANAYİ ŞB / KAYSERİ;038;001209507038;
PINARBAŞI KAYSERİ ŞUBESİ;038;001201726038;
SANAYİ SİTESİ/KAYSERİ;038;001209489038;
SARIOĞLAN KAYSERİ UYDU ŞUBESİ;038;001201834038;
SİVAS CADDESİ ŞB./KAYSERİ;038;001201367038;
TALAS KAYSERİ ŞUBESİ;038;001201774038;
TOMARZA KAYSERİ ŞUBESİ;038;001201772038;
YAHYALI ŞUBESİ/KAYSERİ;038;001201574038;
YENI SANAYI SITESI/KAYSERI SB.;038;001209490038;
BABAESKİ/KIRKLARELİ;039;001209554039;
KIRKLARELİ;039;001209552039;
LÜLEBURGAZ/KIRKLARELİ;039;001209553039;
PINARHİSAR;039;001209557039;
VİZE/KIRKLARELİ;039;001209556039;
AHİ EVRAN KIRŞEHİR ŞUBESİ;040;001201739040;
KAMAN/KIRŞEHİR;040;001209504040;
KIRŞEHİR;040;001209502040;
MUCUR/KIRŞEHİR;040;001209503040;
BAŞİSKELE KOCAELİ UYDU ŞUBESİ;041;001201839041;
BEKIRPASA SUBESI/KOCAELI;041;001201440041;
CAYIROVA SUBESI/KOCAELI;041;001201299041;
DARICA SUBESI/KOCAELI;041;001201347041;
DERINCE SUBESI/KOCAELI;041;001201435041;
DILOVASI SUBESI/KOCAELI;041;001201320041;
DİLOVASI İMES OSB KOCAELİ ŞUBE;041;001201852041;
GEBZE;041;001209447041;
GEBZE BAĞDAT CADDESİ KOCAELİ;041;001201596041;
GEBZE HASKOY SUBESI/KOCAELI;041;001201439041;
GEBZE ORGANİZE SANAYİ ŞB./KOCA;041;001201234041;
GEBZE TICARI SUBESI/KOCAELI;041;001201398041;
GEBZE-YENICARSI SUBESI/KOCAELI;041;001201314041;
GÖLCÜK ŞUBESİ;041;001209444041;
IZMIT E-5 SUBESI/KOCAELI;041;001201348041;
IZMIT TICARI SUBESI/KOCAELI;041;001201396041;
İZMİT ŞUBESİ/ KOCAELİ;041;001209443041;
KANDIRA;041;001209445041;
KARAMÜRSEL;041;001209446041;
KARTEPE ŞUBESİ/KOCAELİ;041;001201467041;
KOCAELI NAKIT OPERASYON MERKEZ;041;001201424041;
KÖRFEZ;041;001209449041;
SANAYİ SİTESİ/KOCAELİ;041;001209448041;
AKŞEHİR/KONYA;042;001209512042;
AZIZIYE SUBESI/KONYA;042;001201324042;
BEYŞEHİR/KONYA;042;001209513042;
BOZKIR/KONYA;042;001209519042;
BÜSAN SANAYİ SİTESİ/KONYA ŞUBE;042;001209518042;
CİHANBEYLİ/KONYA;042;001209515042;
ÇUMRA/KONYA;042;001209517042;
EREĞLİ/KONYA;042;001209511042;
